UID	5m	10m	15m	20m	30m	40m	60m	80m
YIL124W	0.82	1.59	2.02	2.16	1.68	1.04	0.87	0.84
YIL125W	0.2	0.29	1.01	0.79	0.65	0.61	0.08	-0.12
YIL126W	0.51	-0.17	-0.76	-0.13	-0.63	-0.34	-0.09	-0.34
YIL127C	-1.84	-2.03	-2.94	-3.25	-2.12	-1.65	-0.79	-0.42
YIL128W	-0.58	-1.48	-0.6	-0.42	-0.66	-0.45	0.01	-0.01
YIL129C	-0.56	-0.62	-0.93	-0.82	-1.6	-0.29	-0.39	-0.58
YIL130W	-0.92	-1.71	-0.69	-0.31	-0.42	-0.51	0.15	0.21
YIL131C	-0.4	-0.68	-1.29	-2.09	-1.69	-1.07	-0.17	0.15
YIL132C	-0.18	-0.08	-0.58	-0.39	-0.85	-0.6	0.23	-0.15
YIL133C	-0.49	-1.14	-2.06	-2.69	-2	-1.36	-0.91	-1.06
YIL134W	-0.29	-0.14	-0.22	-0.3	-0.16	0.31	0.19	0.03
YIL135C	0.26	0.61	0.92	0.23	0.58	0.55	0	-0.07
YIL136W	2.42	3.86	4.51	4.48	4.15	2.19	2.26	2.13
YIL137C	-0.1	-0.43	0.65	-0.01	0.26	0.79	0.17	-0.1
YIL138C	0.07	-0.18	0.01	0.6	0.42	-0.02	0.66	1.3
YIL139C	-0.25	-0.18	-0.33	-0.15	-0.12	0.2	0.14	0.37
YIL140W	-0.63	-1.74	-1.08	-1.01	-0.67	0.3	0.24	-0.4
YIL141W	0.12	-0.01	-1.42	-0.74	-0.62	0.32	0.07	-0.15
YIL142W	-0.83	-1.69	-0.86	-0.56	-0.67	-0.45	-0.33	-0.19
YIL143C	-0.05	-0.49	0.31	0.36	0.2	0.06	0.01	0.07
YIL144W	-0.09	-0.29	-0.07	0.49	0.2	-0.14	0.36	0.69
YIL145C	-0.71	-0.9	-0.79	-0.92	-1.17	-0.58	-0.41	-0.28
YIL146C	-0.39	-0.39	0.1	0.15	-0.37	0.2	0	0.05
YIL147C	-0.96	-1.94	-1.15	-1.06	-1.14	-0.32	-0.47	-0.46
YIL148W	-0.92	-1.48	-1.79	-1.47	-1.81	-1.6	-1.19	-0.75
YIL149C	0.01	-0.53	-0.45	-0.01	0.06	-0.01	-0.02	0.19
YIL150C	-1.36	-1.54	-1.3	-0.97	-1	-0.92	-0.44	0.02
YIL151C	-0.32	0	-0.38	0.12	-0.23		-0.12	
YIL152W	-0.1	0.3	0.3	0.33	0.19	-0.3	0.08	0.24
YIL153W	0.39	1.16	1.37	0.76	1.08	1.63	0.39	-0.27
YIL154C	0.6	1.17	1.32	1.05	0.78	0.77	0.1	0.21
YIL155C	1.95	2.27	2.06		3.54	2.24	1.76	1.08
YIL156W	-0.05	0.3	0.52	0.61	0.11	-0.09	0.06	0.08
YIL157C	-0.3	0.85	0.78	0.52	0.55	0.53	0.03	-0.18
YIL158W	-1.14	-1	-1.71	-1.14	-1.38	-1.79	-1.05	0.01
YIL159W	-0.11	-0.08	-0.92	-1.12		0.26	0.26	-0.1
YIL160C	-0.38	0.55	1.54	1.4	1.24		-0.04	-0.01
YIL161W	0.19	0.33	-0.3	0.53		0.57	0.98	1.63
YIL162W	0.04	-0.2		0.62	0.39	0.29	0.38	0.41
YIL163C			-0.26		-0.56		-0.6	
YIL164C		0.12		0.38	0.39		0.26	-0.14
YIL165C			0.03	0.11	0.11		-0.29	
YIL166C		0.12			0.86		0.76	0.32
YIL167W			-0.24		0.04		0.12	
YIL168W								
YIL169C	0.32	0.42	1.53	1.49	1.54	1.39	0.35	0.36
YIL170W					0.52		0.37	
YIL171W			-0.14		0.04		-0.23	
YIL172C	1.01	0.79	1.28	1.43	1.28		0.28	0.45
YIL173W	-0.17	-0.99	0.05	-0.01	0.03	0.3	-0.23	-0.18
YIL174W	-0.09		-0.7	-0.49	-0.81	-0.38	-0.27	-0.71
YIL175W	-0.03	0.12	-0.2	-0.76	-0.57	0.09	-0.29	-0.67
YIL176C	-0.08	0.04	0.01	-0.01	-0.18	-0.44	0.12	0.08
YIL177C	-0.24	-0.36	0.09	-0.18	0.03	0.47	0	-0.38
YIR001C	-0.24	-0.38	-0.42	-0.15	0.06	-0.49	0.12	0.31
YIR002C	-0.33	0.06	0.53	0.2	0.24	0.51	0.42	
YIR003W	0.07	-0.04		0.89	0.8	0.13	0.23	0.22
YIR004W	-0.82	-0.31	-0.57	-0.31	-0.09	-0.42	-0.39	-0.12
YIR005W					0.41	-0.49	-0.02	
YIR006C	-0.06	-1.23	0.18	-0.19	0.17	0.39	-0.24	-0.45
YIR007W	0.65	0.79		1.58	1.51	0.7	0.58	0.68
YIR008C	-0.31	0.13	0.08	-0.25	0.34	0.08	0.01	0.03
YIR009W		-0.39	-0.11	0.03	0.34	-0.82	0.04	-0.07
YIR010W	-0.03	0.1	0.14	-0.07	-0.06	-0.91	0.32	0.6
YIR011C	-0.47	-1.03	-0.58	0.07	0.16	-1.28	-0.03	-0.01
YIR012W	-0.81	-1.81	-1.89	-1.92	-1.47	-1.4	-0.43	-0.38
YIR013C			-0.09				-0.1	-0.89
YIR014W	1.08	1.89	1.58	1.16	1.18	0.41	0.25	0.25
YIR015W		-0.36	0.57	0.6	0.64	0.03	0.03	-0.03
YIR016W	1.63	2.58	2.18	1.89	1.54	0.3	0.3	0.17
YIR017C	1.89	1.14	1.38	1.39	1.98	0.82	1.01	0.68
YIR018W	0.56	0.46	0.36	-0.07	0.41	-0.27	0.37	0.51
YIR019C			0.01				-0.34	
YIR020C			0.25		-0.15			
YIR021W	-0.34	-0.73	-0.31	-0.08	-0.25	-0.73	-0.06	-0.23
YIR022W	-0.5	0.16	0.28	-0.33	-0.16	0.16	-0.41	-0.74
YIR023W	-0.05	-1.03	-0.22	-0.08	-0.27	-0.52	0.19	0.36
YIR024C	-0.07	0.56	0.49	0.65	0.89	0.42	0.42	0.57
YIR025W	0.06	0.16	-0.14	-0.26	-0.18	-0.49	-0.32	-0.32
YIR026C	-1.11	-1.79	-2.84	-4.08	-2.89	-2.25	-1.18	-1.22
YIR027C			1.25		1.51		1.1	1.28
YIR028W			0.46		0.46		0.49	0.24
YIR029W			0.66		0.4		0.12	0.1
YIR030C		0.33	-0.03	-0.81	-0.12		0.08	0.01
YIR031C	0.44	0.08	0.3	0.03	0.38	-0.32	0.32	0.33
YIR032C		0.03	0.32	-0.22	0.33	0.43	-0.06	
YIR033W	-0.61	-1.42	-0.98	-0.65	-1.09	-0.76	0.05	0.27
YIR034C	0.39	0.87	1.1	0.72	0.83	1.06	0.93	0.51
YIR035C	-0.27	-0.42	-1.01	-1	-1.24	-0.84	0.24	-0.2
YIR036C	0.3	1.08	1.55	1.18	1.1	0.98	0.47	0.04
YIR037W	0.22	1.01	1.24	1.34	1.17	1.04	0.77	0.4
YIR038C	0.62	1.91	2.67	2.37	2.61	2.51	1.21	0.49
YIR039C	1.21	1.93	3.44	3.24	2.91	2.44	1.48	1.16
YIR040C	0.14	-0.26	-0.42	-0.73	-0.87	-0.45	-0.2	-0.08
YIR041W	0.1	0.34	0.1	0.42	-0.06	-0.14	0.19	-0.01
YIR042C	-0.54	-0.17	0.01	-0.32	-0.18	-0.11	-0.01	0.06
YIR043C	0.22	0.71	0.79	0.72	0.14	0.08	0.1	-0.07
YIR044C	0.12	0.48	0.94	0.18	0.14	0.2	-0.15	-0.41
YJL001W	0.13	0.53	0.8	0.95	0.79	0.57	0.55	0.3
YJL002C	-0.71	-0.79	-0.42	-1.17	-0.86	-0.15	-0.38	-0.77
YJL003W	0.01	0.36	0.32	0.21	0.01	-0.06	0.13	-0.01
YJL004C	-0.32	0.14	0.29	-0.53	-0.36	0.16	-0.16	-0.21
YJL005W	0.24	-0.19	1.49	0.54	0.21	-0.01	0.22	0.06
YJL006C	-0.81	-0.56	-0.84	-1.15	-0.58	-0.18	-0.07	0.26
YJL007C	0.27	-0.41	-0.49	-0.3	-0.41	0	-0.56	-0.03
YJL008C	-0.86	-1.33	-0.89	-1.27	-0.76	-0.49	-0.46	-0.55
YJL009W	-0.36	-0.58	-0.76	-0.76	-0.94	-1.06	-0.38	-0.34
YJL010C	-1.07	-2.11	-2.53	-2.47	-2.1	-1.08	-1.03	-0.86
YJL011C	-0.17	-0.6	-0.58	-0.56	0.97	-0.41	0.19	-0.03
YJL012C	3.62	0.2				0.68		2.72
YJL013C	0.2	0.04	0.37	0.08	0.46	-0.38	0.27	0.42
YJL014W	-0.51	-1.27	-0.8	-0.93	-0.9	-0.7	-0.59	-0.42
YJL015C	0.08	0.71	1.38	1.61	1.21	0.89	0.32	0.1
YJL016W	0.66	1.79	1.42	1.37	1.34			
YJL017W	0.2	0.3	1.67	1.67	1.21	1.04	0.46	0.31
YJL018W	-0.12	-0.27	-0.69	-1.08	-1.06	-0.06	-0.11	-0.32
YJL019W	-0.71	-1.62	-0.97	-0.76	-1.36	-0.58	0.03	-0.15
YJL020C	0.48	0.29	1.56	1.64	1.56	1.46	0.59	0.43
YJL021C	0.59	1.3	1.92	2.01	1.61	1.25	0.75	0.67
YJL022W	0.28		0	0.03	0.03		-0.1	0.2
YJL023C	0.01	0.13	-0.11	0.31	0.19	-0.17	0.17	0.53
YJL024C	0.04	0.19	-0.25	-0.07	-0.23	0	0.06	0.02
YJL025W	-1.12	-1.13	-1.42	-1.1	-1.19	-0.45	-0.08	0.12
YJL026W	-0.03	0.25	0.26	-0.44	-0.55	-0.03	0.15	0
YJL027C		0.39	-0.27	-0.47			-0.18	-0.38
YJL028W			-0.62				-0.84	
YJL029C	-0.22	-0.65	-0.28	-0.17	-0.43	-0.89	-0.09	0.06
YJL030W		0.66					-1	
YJL031C	0.17	0.35	0.32	0.66	0.64	-0.58	0.44	0.63
YJL032W	0.12	0.58	0.05	0.06	0.54		0.1	-0.07
YJL033W	-1.17	-2.94	-2.77	-2.02	-2.63	-2.32	-0.9	-0.75
YJL034W	1.2	1.88	2.13	1.02	1.12	1.35	1.43	0.97
YJL035C	-0.51	-0.94	-1.61	-1.17	-1.25	0.42	-0.38	-0.23
YJL036W	0.46		0.76	0.34	1.05	0.01	0.11	-0.1
YJL037W							0.07	
YJL038C		-0.71	-0.24		-0.13		0.06	0.57
YJL039C	-0.52	-1.86	-0.94		-0.86		-0.22	-0.36
YJL041W	-0.29	-0.93	-0.43	-0.35	-0.27	-0.14	-0.06	0.03
YJL042W	0.99	-0.06	0.8	0.82	0.45	-0.01	0.27	0.04
YJL043W			-0.15	-0.18	-0.15		-0.2	-0.3
YJL044C	-0.47	-0.93	-0.45	-0.15	-0.52	-0.67	-0.69	-0.58
YJL045W			2.2	1.79	2.74	2.07	0.43	0.07
YJL046W	-0.32	-0.43		0.31	0.48	-0.1	-0.18	-0.22
YJL047C	0.13	-0.48	0.03	-0.17	0.1	-0.08	-0.15	-0.03
YJL048C	0.49	1.18		2.23	1.9	0.89	0.66	0.82
YJL049W		-0.11	-0.23	-0.42	-0.34		-0.58	-0.89
YJL050W	-0.69	-2.49	-2.12	-2.02	-1.98	-1.76	-0.51	-0.92
YJL051W	-0.09	-0.11	-0.46	-0.8	-0.77	-0.56	-0.9	0.25
YJL052W	0.36	0.78	1.06	0.77	0.67	0.49	0.12	0.06
YJL053W	0.43	0.87	1.05	0.72	0.9	0.63	0.33	
YJL054W	-0.54	-0.92	-1.03	-0.83	-0.6	-0.59	-0.74	-0.66
YJL055W	0.05	0.68	0.52	0.5	0.83	0.56	0.21	0.24
YJL056C	-0.14	-0.58	-0.3	-0.49	-0.1	0.05	0.1	-0.09
YJL057C	1.53	1.96	2.44	2.4	2.09			
YJL058C	-0.32	-0.33	-0.22	-0.12	-0.18	-0.63	-0.05	0.06
YJL059W	0.12	0.66		0.09	0.52		0.03	
YJL060W	0.53	0.59	0.39	0.29	0.44	0.05	-0.18	-0.6
YJL061W	-0.17	-0.74	-0.51	-0.42	-0.26	-0.15	-0.31	
YJL062W	-0.4	-1.33	-0.26	-0.25	-0.4	0.11	0.03	-0.06
YJL063C	-0.38	0.16	0.23	0.13	0.49	-0.26	-0.07	-0.43
YJL064W	0.02	-0.44	-0.43	-0.01	-0.11	-0.14	0.11	-0.07
YJL065C	-0.11	0.11	-0.34	-0.39	-0.04	-0.58	-0.06	-0.08
YJL066C	1.11	1.84	2.29	2.48	2.51	1.61	1.16	0.93
YJL067W	0.31	0.69	1.02	0.63	0.84	0.08	0.2	0.02
YJL068C	0.4	0.97	1.8	1.95	2.13	2.03	1.51	1.04
YJL069C	-2	-3.35	-3.06	-3.13	-2.32	-1.42	-0.69	-0.63
YJL070C			1.18		1.69	0.58	0.33	
YJL071W	-0.37	-0.22	0.1	-0.18	0.33	-0.05	0.2	0.21
YJL072C	-0.37	-0.72	-0.25	-0.15	-0.15	-0.26	0.22	0.31
YJL073W	-0.65	-1.03	-0.69	-0.66	-0.54	-0.15	0.22	-0.29
YJL074C	-0.29	-1.14	-0.89	-0.69	-1.19	-0.74	0.06	-0.34
YJL075C	-0.77	-0.94	-0.69	-1.36	-1.01	-0.3	-0.35	-0.56
YJL076W	-0.42	-2.45	-1.25	-1.06	-1	-0.56	-0.34	-0.32
YJL077C	-0.55	-0.19	-0.09	-0.48	-0.07	0.52	-0.5	-0.76
YJL078C	0.81	-0.67	0.33	0.19	-0.04		-0.17	-0.74
YJL079C	-0.07	0.24	0.33	-0.19	-0.12	0.95	0.1	-0.32
YJL080C	-0.32	-2.16	-1.31	-1.15	-1.56	-1.17	-0.54	-0.74
YJL081C	-0.77	-0.92	-0.42	-0.7	-0.41	-0.15	-0.38	-0.54
YJL082W	1.66	1.25	1.95	1.45	1.47	0.72	0.6	0.49
YJL083W	-0.54	0.46	1.08	0.4	0.54	0.62	-0.29	-0.62
YJL084C	0.09	-0.4	0.37	0.17	0.13	-0.49	-0.27	-0.42
YJL085W	0.04	-0.03		0.41	0.2	-0.04	-0.13	0.01
YJL086C	0.25	-0.57	-0.41	0.36	0.01	0.18	-0.22	
YJL087C	-1	-1.81	-1.4	-1.07	-1.22	-0.73	-0.05	-0.15
YJL088W	0.4	0.01	1.16	1.12	1.39	1.28	1.18	1.2
YJL089W			2.19	1.9	2.31	0.62		
YJL090C	-0.42	-0.98	-0.53	-0.09	-0.24	-0.02	0.15	0.19
YJL091C	-0.05	0.32	0.45	0	-0.37	-0.01	0.46	0.31
YJL092W	-0.74	-1.76	-0.9	-0.8	-1.17	-0.42	0.19	0.15
YJL093C	-0.24	-0.52	0.41	-0.06	-0.3	-0.06	0.02	0.3
YJL094C	0.46	0.3	0.53	0.28	-0.01	0.36	0.11	
YJL095W	-0.36	-1.31	-0.34	-0.56	-0.75	-0.03	0.03	-0.03
YJL096W	-0.24	-0.26	-0.04	0.08	0.14	0.17	0.23	-0.12
YJL097W	-0.13	0.05	0.15	-0.39	-0.67	0.12	-0.02	-0.1
YJL098W	-1.48	-2.58	-3.39	-1.67	-1.32	-0.73	0.1	-0.07
YJL099W	0.1	-0.17	0.53	0.53	0.66	0.44	0.32	0.23
YJL100W	0.58	0.66	1.04	1.03	0.53	0.48	0.48	
YJL101C	-0.56	-0.83	-0.14	-0.45	-0.17	-0.2	-0.88	-0.99
YJL102W	0.6	1.1	1.56	1.54	1.12	0.64	0.78	
YJL103C		1.55	2	1.6	1.68			1
YJL104W	-0.07	-0.39	-0.69	0.03	0.14	-0.47	0.7	0.75
YJL105W	-0.54	-0.52	-0.64	-1	-0.71	-0.36	-0.06	0.17
YJL106W		0.58	1.02	0.97	0.77	-0.22	0.15	
YJL107C	0.91	0.4	1.46	1.07	1.2	1.3	0.46	0.12
YJL108C	0.82	0.94	1.22	1.02	0.9	0.6	0.76	
YJL109C	-0.97	-2.54	-3.45	-2.77	-2.75	-1.67	-1.06	-0.81
YJL110C	-0.78	-1.48	-0.64	-0.18	-0.17	-0.39	-0.07	
YJL111W	-0.84	-1.79	-1.27	-0.86	-1.2	-1.29	-0.64	-0.62
YJL112W	-0.23	-0.68	-0.31	0.16	0.41	-0.27	0.34	
YJL113W		0.58						
YJL114W	-0.25	-1.72	-0.3	0.19	0.54	0.07	0.55	
YJL115W	0.18	0.09	-0.57	-0.13	-0.43	-0.24	0.52	0.21
YJL116C		0.16	0.75	0.58	1.36	1.67	0.8	0.69
YJL117W	-0.26	-0.33	-0.23	-0.17	-0.53	-0.46	-0.11	-0.1
YJL118W			-1.2		-0.66	0.06	-0.71	
YJL119C	0.42	-0.09	-0.43	-1.22		0.18	0.1	
YJL120W	-0.27	-0.29	-0.46	-0.42	-0.27	-0.23	-0.27	
YJL121C	-0.29	-0.39	-0.53	-1.07	-1.62	-0.83	-0.37	-0.28
YJL122W	-2.56	-2.69	-3.41	-2.64	-3.06	-1.81	-1.18	-0.96
YJL123C	0.2	0.09	0.16	0.54	0.63	0.11	0.4	0.66
YJL124C	-0.64	-0.96	-1.11	-0.59	-0.75	-0.96	-0.55	-0.29
YJL125C	-1.54	-1.82	-2.19	-2.06	-1.74	-1.25	-0.6	-0.35
YJL126W	-0.43	-0.19	-0.12	0.03	0.04	-0.06	-0.01	0.04
YJL127C	-0.18	-0.69	-0.75		0.18		-0.3	-0.29
YJL128C	-0.37	-0.54	0.19	0.3	0.09	-0.01	-0.02	0.12
YJL129C	-0.93	-0.96	-0.85	-0.98	-0.97	-0.34	-0.69	-0.4
YJL130C	-0.4	-1.87	-1.89	-1.49	-1.44	-0.51	0.19	-0.24
YJL131C	0.63		0.77	1.07	1.11	0.33	-0.12	
YJL132W	0.84	0.94	1.57	1.6	1.37	0.56	0.3	0.64
YJL133W	-0.97	-0.43	-0.82	-1.23	-1.17	-0.57	-0.81	-0.64
YJL134W	-0.45	-1.14	-0.4	-0.17	-0.23	0.24	0.04	-0.38
YJL135W	-0.32	-0.83	-0.71	-0.33	-0.35	-0.66	-0.08	-0.35
YJL136C	-0.64	-1.54	-2.06	-1.52	-1.51	-1.7	-0.63	-0.43
YJL137C	0.12	0.53	0.51	0.63	0.4	-0.19	0.24	0.7
YJL138C	-0.32	-1.69	-1.25	-1.43	-1.84	-1.64	-0.76	
YJL139C	-0.47	-0.4	-0.38	-0.11	-0.02	-0.53	-0.09	-0.18
YJL140W	0.24	-0.36	-0.32	0.39	0.31	-0.15	0.19	
YJL141C	2.1	1.54	2.24	2.04	1.35	0.21	0.4	0.57
YJL142C	1.97	2.16	2.2	2.11	1.49	0.63	0.34	
YJL143W	-0.09	-0.07	-0.27	-0.22	-0.21	-0.22	-0.24	-0.43
YJL144W	3.79	3.55	2.72	2.56	2.53	1.51	0.74	1.67
YJL145W	-0.17	-0.71	-1.43	-1.03	-0.88	-1.09	-0.24	-0.05
YJL146W	0.31	0.14	0.23	0.49	0.44	-0.2	0.14	0.15
YJL147C	-0.54	-0.48	-0.25	-0.43	-0.26	0.17	-0.26	-0.46
YJL148W	-1.74	-3.95	-2.92	-2.75	-2.64	-1.81	-1.11	-0.6
YJL149W	0.6	0.84	1.06	0.74	0.96	0.84	0.43	0.45
YJL150W		2.56						
YJL151C	0.27	1.23	1.12	0.74	0.79	0.61	0.37	0.05
YJL152W	0.06	0.88	0.77	0.94	0.74	0.59	0.27	0.27
YJL153C			1.29		1.22		0.61	0.15
YJL154C	0.16	-0.65	0.28	0.83	0.64	0.3	0.21	0.5
YJL155C	0.85	1.44	1.73	1.39	1.52		0.29	0.23
YJL156C	-0.28	-0.91	-0.03	0.14	0.12	-0.05	-0.07	0.01
YJL157C	-2.79	-2.48	-2.06	-2.15	-1.47	-0.8	-1.34	-1.03
YJL158C	-0.13	-0.64	-0.52	-0.37	-0.82	-0.04	0.26	
YJL159W	0.04	0.68	1.9	1.95	1.87	1.58	0.52	0.12
YJL160C			0.23		0.16		-0.42	
YJL161W		2.74	2.96	2.99	3.19	1.64	0.5	0.4
YJL162C	-0.38	-1.36	-0.79	-0.62	-0.51	-0.55	-0.2	
YJL163C	1.38	2.13	2.91	2	1.99	0.88	0.43	0.28
YJL164C	0.77	1.74	2.81	2.59	2.45	1.78	0.9	
YJL165C	0.62	0.43	1.41	0.8	0.43	-0.61	-0.03	0.09
YJL166W	1.23	1.36	1.3	1.53	1.46	0.58	0.54	
YJL167W	0.24	0.08	0.11	-0.01	0.22	-0.54	0.4	0.51
YJL168C	-0.06	-1.46	-0.77	-0.2	-0.29	-0.44	-0.14	
YJL169W	0.02	-0.42	-0.34	-0.71	-0.48	-0.54	-0.24	-0.25
YJL170C	0.26	0.49	0.6	0.86		0.43	-0.25	-0.92
YJL171C	0.01	0.73	0.94	0.41	0.4	0.53	-0.21	-0.56
YJL172W	-0.21	-0.53	0.81	1.17	1.13	1.34	0.91	0.59
YJL173C	0.12	0.46	0.01	-0.43	-0.12	-0.36	0.31	0.2
YJL174W	-0.08	0.11	0.77	0.52	0.24	0.15	0.16	-0.01
YJL175W	-0.51	-0.32	-0.43	-0.8	-0.64	-0.6	-0.23	-0.38
YJL176C	-0.67	-1.07	-0.43	-0.22	-0.33	-0.48	0.15	0.21
YJL177W	-0.57	-1.18	-2	-2.43	-1.84	-1.63	-0.99	-0.84
YJL178C	-0.66	-0.85	-0.51	-0.42	-0.31	-0.47	-0.34	-0.29
YJL179W	-0.17	-0.14	-1.09	-0.83	-0.18	-0.82	-0.23	0.07
YJL180C	-0.79	-0.63	0.14	0.47	0.68	-0.15	-0.14	-0.09
YJL181W	-0.38	-0.11	-0.2	-0.44	-0.13	-0.14	-0.26	-0.34
YJL182C	0.86	-0.89	-0.25	-0.29	0.04	-0.08		-0.94
YJL183W	-1.04	-1.52	-0.92	-1.17	-1.24	-0.54	-0.4	-0.24
YJL184W	-0.47	-0.72	-1.06	-0.55	-0.51	-0.21	0.13	-0.06
YJL185C		0.96	1.12	0.73	0.69	1.13	0.15	0.28
YJL186W	-0.43	-0.98	-0.56	-0.39	-0.55	0.18	0.08	-0.07
YJL187C	-0.5	-1.63	-1.18	-1.11	-1.03	-0.51	0.34	0.21
YJL188C	-0.22	-0.85	-1.98	-1.67	-1.45	-1.49	-0.42	-0.25
YJL189W	-0.43	-0.66	-1.94	-1.89	-1.64	-1.76	-1.05	-0.46
YJL190C	-0.41	-1.38	-2.4	-2.56	-1.52	-1.81	-0.94	-0.71
YJL191W	-0.66	-0.95	-0.89	-1.19	-1.04	-0.68	-0.72	-0.24
YJL192C	-0.54	-0.63	-0.47	-0.42	-0.58	-0.21	-0.2	-0.27
YJL193W	-0.81	-1.01	-0.71	-0.99	-0.95	-0.54	-0.58	-0.5
YJL194W								
YJL195C	-1.59	-0.98	-0.58	-1.06	-1.12	-0.66	-0.66	-0.59
YJL196C	-0.21	0.06	0.31	0.13	-0.27	-0.24	-0.01	0.14
YJL197W	-0.84	-1.09	-0.29	-0.55	-0.36	0.08	-0.24	-0.34
YJL198W	-1.11	-2.94	-2.64	-2.48	-2.43	-1.22	-0.43	-0.58
YJL199C	-0.34	0.38	0.48	-0.17	0	-0.06	-0.1	-0.04
YJL200C	-0.74	-2.89	-4.06	-2.47	-2.29	-1.02	0.24	0.14
YJL201W	-0.43	-0.49	-0.23	-0.73	-0.62	-0.32	0.01	-0.19
YJL202C	0.13	-0.08	-0.54	0.08	0.01	-0.22	0.2	0.43
YJL203W	-0.14	0.16	-0.38	-0.24	0.29	-0.36	0.12	0.52
YJL204C	0.21	-0.28	0.1	0.35	0.13	0.06	0.49	0.5
YJL206C	-0.04	0.71	0.45	-0.31		0	-0.09	0.01
YJL207C						0.38		
YJL208C	-1.65	-2.96	-2.6	-2.26	-2.03	-1.16	-0.69	-0.7
YJL209W	-0.25	-0.31	-0.42	-0.32	-0.27	-0.19	-0.11	0.16
YJL210W	0.14	0.23	0.71	0.54	0.16	0.29	-0.28	-0.19
YJL211C	0.59	0.66	0.4	0.29	-0.16	-0.02	-0.31	-0.41
YJL212C	-1.31	-2.29	-1.34	-1.02	-1.32	-0.74	-0.75	-0.96
YJL213W	0.86	1.8	2.11	1.88	1.51	1.26	0.87	0.8
YJL214W			0.08		-0.05	0.07	-0.54	
YJL215C		0.44	-0.84				-0.42	
YJL216C	0.59	-0.35	0.48		0.15	-0.04	0.06	
YJL217W	0.99	2.29	2.92	2.87	2.77	2.38	1.49	0.84
YJL218W	0.79	0.87	0.55	0.51	-0.15	-0.43	-0.1	-0.38
YJL219W			0.52	0.1			-0.12	0.08
YJL220W			0.81		-0.36			
YJL221C	0.96		1.74	1.23	1.39	0.97	0.31	0.53
YJL222W	-0.42	-1.4	-0.11	0.1	-0.25	0.17	-0.18	-0.02
YJL223C	-0.25	0.23	0.22	-0.31	-0.18	0.01	-0.12	-0.1
YJL225C	-0.43	-0.69	-0.12	-0.04	-0.2	0	0.06	0.14
YJR001W	-0.3	-0.56	0.18	-0.39	-0.23	0.25	-0.09	0.05
YJR002W	-1.32	-3.6	-3.77	-2.84	-2.68	-2.16	-0.89	-0.49
YJR003C	-1.64	-2.4	-2.52	-2.65	-2.03	-1.34	-1.09	-0.72
YJR004C	-0.58	-0.92	-0.57	-0.5	-0.92		-0.44	-0.14
YJR005W	-0.12	-0.17	0.21	0.25	0.49	0.37	-0.18	-0.31
YJR006W	-0.06	-0.42		0.29	0.34	-0.03	0.29	
YJR007W	-0.9	-1.92	-1.74	-1.86	-1.84	-1.63	-1.42	-1.31
YJR008W	1.4	2.1		2.61	2.7	1.42	0.53	
YJR009C	0.48	0.72	0.99	0.65	0.33	0.38	0.14	-0.01
YJR010C-A	0.16	-0.69		-0.01	-0.45	-0.3	-0.17	
YJR010W	-0.11	-0.32	-0.43	-0.46	0.12	0.06	0.37	0.18
YJR011C	0.44	-0.38			0.06	0.12	0.24	0.11
YJR012C	-0.25	-0.3	-0.69	-0.67	-0.36	-0.51	-0.05	-0.15
YJR013W	-0.32	-0.69		0.1	0.04	0.14	0.01	-0.27
YJR014W	-0.17	-0.37	-0.84	-0.62	-0.47	-0.91	-0.02	0.25
YJR015W	-0.6	-1.09	-0.22	-0.01	-0.14	0.08	-0.1	-0.34
YJR016C	-0.3	-1.62	-2.18	-2.48	-2.19	-1.84	-0.61	-0.32
YJR017C	-0.43	-0.51	-0.2	-0.01	-0.3	0.01	-0.27	-0.49
YJR018W	-0.41	-0.23	0.05	-0.38	-0.31	-0.05	-0.54	-0.81
YJR019C	0.75	0.87	1.1	0.99	0.89	0.6	0.46	0.3
YJR020W			1.04		0.61	0.89	0.3	-0.45
YJR021C	0.58	0.59	-0.25	0.66	0.62	0.08	0.3	0.49
YJR022W	-0.01		-0.29		0.01		-0.1	0.37
YJR023C	0	-0.13	-0.34	-0.05	-0.12	-0.43	-0.45	0.23
YJR024C	-0.75	-0.45	-0.7	-0.92	-0.63	-0.11	-0.29	-0.22
YJR025C	0.33	0.46		0.74	0.91	0.45	0.63	0.96
YJR026W	-0.32	-1.89	-0.18	0.07	0.09	0.32	0.08	0.4
YJR027W	0.1	-1.13		-0.05	-0.25	-0.22	0.18	0.4
YJR028W	-0.22	-1.94	-0.18	0.01	0.03	0.26	0.12	0.19
YJR029W	0.01	-1.36	-0.16	0.02	-0.16	-0.25	0.18	
YJR030C	-0.22	-0.5	-0.58	-1.26	-0.78	-1.13	-0.08	-0.48
YJR031C	-0.43	-2.23	-1.38	-1.29	-0.93	-0.58	0.12	
YJR032W	-0.19	-0.61	-0.29	-0.74	-0.29	-0.91	-0.05	0.19
YJR033C	0.3	-0.65	0.84		1.03	0.6	0.29	0.14
YJR034W			0.33	0.21	0.97		0.3	
YJR035W		-0.54	0.74		1.09		0.42	
YJR036C	1.19	1.43	1.99	1.56	1.71		0.33	
YJR037W			1.41		1.19		-0.27	
YJR038C			1.32	0.81	0.96		0.2	
YJR039W		0.01	1.22	0.92	1.18		0.14	-0.51
YJR040W	-0.52	-0.81	0.57	-0.02	0.05	-0.11	-0.14	-0.38
