UID	5m	10m	15m	20m	30m	40m	60m	80m
YBL073W	0.32	-1.47	-0.07	0.28	0.21	0.33	0.24	0.28
YBL074C	-0.1	-1.29	0.31	0.26	0.48	0.33	0.29	0.31
YBL075C	1.92	2.93	4.28	3.84	3.67	2.16	1.53	1.41
YBL076C	-0.34	-1.74	-1.22	-1.51	-1.29	-0.81	-0.62	-0.6
YBL077W	-0.07	-0.84	-1.09	-1.25	-1.29	-1.09	-0.42	-0.27
YBL078C	1.47	2.42	2.41	2.31	2.77	1.55	0.57	0.78
YBL079W	-0.3	-1.4	-0.69	-0.56	-0.97	0.07	-0.15	0.26
YBL080C	-0.47	0.37	0.45	0.32	0.73	0.52	0.19	0.21
YBL081W	-1.09	-1.89	-1.06	-0.92	-1.47	-0.54	-0.69	-0.49
YBL082C	-1.22	-1.74	-2.25	-2.56	-1.94	-0.89	-0.79	-0.84
YBL083C	-0.94	-1.89	-2.47	-2	-2.25	-0.92	-0.67	-0.47
YBL084C	0.11	-0.18	-0.04	-0.25	0	-0.09	-0.6	-0.69
YBL085W	0.8	-0.34	-0.6	0.7		-0.2	0.18	-0.25
YBL086C	1.2	0.99	1.18	1.04	1.1	0.23	0.07	0.01
YBL087C	-0.45	-1.32	-2	-2.12	-2	-1.79	-0.74	-0.56
YBL088C	0.41	-0.2	-0.42	-1.15			-0.81	-0.69
YBL089W	-0.67	-0.81	-0.17	-0.3	-0.3	-0.36	-0.07	-0.03
YBL090W	-0.22	0.01	0.04	0.18	0.67	0.08	0.3	0.75
YBL091C	0.12	0.01	0.19	0.46	0.07	-0.22	0.04	0.2
YBL092W	0	-0.45	-1.47	-1.79	-1.4	-1.84	-0.74	-0.43
YBL093C	-0.54	-0.56	-0.79	-0.51	-0.51	-1.03	-0.32	-0.07
YBL094C	-0.06	0.19	0.06	-0.14		-0.29	0.01	0.25
YBL095W	0.08	-0.09	0.38	0.49	0.1	-0.25	0.64	0.73
YBL096C	0	0.48	0.26	-0.09		-0.23	0.14	0.38
YBL097W	0.3	-0.11	-0.24	0.2	-0.12	-0.64	0.29	0.49
YBL098W	-0.32	-0.04	-0.32	-0.45	0.18	-0.18	0.34	0.94
YBL099W	-0.01	0.23	0.63	0.48	-0.17	-0.15	-0.12	-0.12
YBL100C	0	0.42	0.92	0.04	0.31	0.4	-0.23	-0.36
YBL101C	0.25	0.32	1.02	1.09	0.82	0.5	0.49	0.49
YBL101W-A	-0.62	-2.84	-0.4	-0.27	-0.17	0.29	0.24	0.46
YBL101W-B	-0.27	-0.74	-0.51	0.03	-0.17	-0.34	0.26	0.42
YBL102W	-0.36	0.49	0.93	0.19	0.57	0.62	-0.04	-0.22
YBL103C	0.08	-0.71	-0.25	-0.07	-0.49	-0.64	-0.14	0.1
YBL104C	-0.84	-0.6	-0.47	-0.92	1.33	-0.04	0.15	-0.3
YBL105C	-0.23	-0.86	-0.06	0.07	-0.2	-0.27	0.07	0.06
YBL106C	-0.14	-0.97	-0.47	-1.09	1.08	0.31	0.18	-0.07
YBL107C	-0.4	-0.45	-0.34	0.06	0.24	-0.06	0.32	0.51
YBL108W	-0.22	-0.03	-0.38	-1.06	0.48		-0.51	-0.81
YBL109W	-0.6	-1.4	-0.74	-0.45	-0.51	-0.1	-0.22	-0.23
YBL111C	-0.38	-0.92	0.06	0.07	-0.07	0.51	0.29	0.21
YBL112C	-0.22	-0.36	0.01	0.48	0.18	0.7	0.7	0.37
YBL113C	-0.22	-0.47	0.33	0.46	0.18	0.77	0.76	0.45
YBR001C	1.45	1.75	2.17	2.5	2.12	1.66	1.45	1.19
YBR002C	-0.84	-1.22	-1.09	-0.62	-1.09	-0.97	-0.42	-0.25
YBR003W								
YBR004C	-0.81	-1.15	-0.64	-0.38	-0.81	-0.04	-0.47	-0.36
YBR005W	0.36	0.73	1.12	0.99	0.8	0.96	0.21	-0.04
YBR006W	0.78	1.91	3.07	2.99	2.65	2.29	1.17	1.14
YBR007C	0.48	0.03	0.54	0.15	-0.03		0.62	0.19
YBR008C	-0.29	-0.27	-0.45	-0.6	-0.43		0.37	0.51
YBR009C	0.41	0.38	-0.69	-1.36	-1.43	-2	0.4	0.28
YBR010W	0.07	-0.17	-0.89	-0.43	-1.36		0.49	0.54
YBR011C	-0.01	0.28	0.23	-0.22	-0.12	-0.04	0.14	-0.07
YBR012C	0.16	-0.07	-0.34	-0.17	-0.14		1.04	0.96
