TF	Gene	Interaction
FIS	b1229	1
FIS	b4369	1
FIS	b2402	1
FIS	b2782	1
FIS	b3977	1
FIS	b2403	1
FIS	b3357	1
FIS	b4270	1
FIS	b2396	1
FIS	b2397	1
FIS	b2864	1
FIS	b3260	1
FIS	b3261	1
FIS	b3798	1
FIS	b2276	1
FIS	b4071	-1
FIS	b1739	1
FIS	b3170	1
FIS	b1530	1
FIS	b4008	1
FIS	b3855	1
FIS	b4067	-1
FIS	b3976	1
FIS	b0743	1
FIS	b3969	1
FIS	b2590	1
FIS	b3759	1
FIS	b3757	1
FIS	b0205	1
FIS	b3971	1
FIS	b3272	1
FIS	b3274	1
FIS	b3169	1
FIS	b3275	1
FIS	b3367	-1
FIS	b3164	1
FIS	b1101	1
FIS	b3365	-1
FIS	b3723	-1
FIS	b2588	1
FIS	b4010	1
FIS	b3721	-1
FIS	b3980	1
FIS	b3366	-1
FIS	b1274	1
FIS	b3722	-1
FIS	b3870	1
FIS	b2781	1
FIS	b2783	1
FIS	b4069	-1
FIS	b4072	-1
FIS	b3588	-1
FIS	b3758	1
FIS	b3854	1
FIS	b4070	-1
FIS	b0201	1
FIS	b3699	1
FIS	b4009	1
FIS	b4073	-1
FIS	b3869	1
FIS	b0204	1
FIS	b2591	1
FIS	b4075	-1
FIS	b3851	1
FIS	b1241	1
FIS	b2589	1
FIS	b4074	-1
FIS	b3868	1
FIS	b3756	1
FIS	b0405	1
FIS	b3368	1
FIS	b1532	1
FIS	b4076	-1
FIS	b1237	1
FIS	b3864	1
FIS	b2652	1
FIS	b2029	1
FIS	b0169	1
FIS	b0170	1
FIS	b1136	1
FIS	b1667	1
FIS	b1719	1
FIS	b1637	1
FIS	b0474	1
FIS	b1782	1
FIS	b0206	1
FIS	b0431	1
FIS	b0429	1
FIS	b0430	1
FIS	b3302	1
FIS	b0428	1
FIS	b3760	1
FIS	b0432	1
FIS	b4240	1
FIS	b3303	1
FIS	b2415	1
FIS	b2113	1
FIS	b4177	1
FIS	b3310	1
FIS	b3304	1
FIS	b0605	1
FIS	b1831	1
FIS	b3298	1
FIS	b3296	1
FIS	b1656	1
FIS	b0884	1
FIS	b1277	1
FIS	b0471	1
FIS	b3860	1
FIS	b3761	1
FIS	b2032	1
FIS	b2034	1
FIS	b2033	1
FIS	b3556	1
FIS	b1207	1
FIS	b3300	1
FIS	b2209	1
FIS	b2038	1
FIS	b1864	1
FIS	b3705	1
FIS	b3231	1
FIS	b3230	1
FIS	b2037	1
FIS	b1677	1
FIS	b3623	1
FIS	b3309	1
FIS	b1676	1
FIS	b1651	1
FIS	b0684	1
FIS	b3295	1
FIS	b3305	1
FIS	b2911	1
FIS	b1824	1
FIS	b4129	1
FIS	b2551	1
FIS	b3306	1
FIS	b3622	1
FIS	b3908	1
FIS	b3936	1
FIS	b1954	1
FIS	b2518	1
FIS	b2185	1
FIS	b3312	1
FIS	b3317	1
FIS	b3318	1
FIS	b3316	1
FIS	b3319	1
FIS	b3320	1
FIS	b3313	1
FIS	b3311	1
FIS	b2507	1
FIS	b3314	1
FIS	b3703	1
FIS	b3321	1
FIS	b3782	1
FIS	b2508	1
FIS	b3315	1
FIS	b3982	1
FIS	b3704	1
FIS	b2036	1
FIS	b4226	1
FIS	b2035	1
FIS	b3919	1
FIS	b2351	1
FIS	b3307	1
FIS	b3349	1
FIS	b3162	1
FIS	b3894	1
FIS	b3893	1
FIS	b1865	1
FIS	b3294	1
FIS	b3892	1
FIS	b0954	1
FIS	b4255	1
FIS	b2344	1
FIS	b1324	1
FIS	b0741	1
FIS	b3301	1
FIS	b0472	1
FIS	b2417	1
FIS	b0120	1
FIS	b3619	1
FIS	b3783	1
FIS	b0746	1
FIS	b2352	1
FIS	b0023	1
FIS	b2579	1
FIS	b2174	1
FIS	b3163	1
FIS	b2779	1
FIS	b0904	1
FIS	b1123	1
FIS	b4314	1
FIS	b3610	1
FIS	b1092	1
FIS	b1091	1
FIS	b3207	1
FIS	b1093	1
FIS	b1090	1
FIS	b2620	1
FIS	b1983	1
FIS	b0121	1
FIS	b3035	1
FIS	b3185	1
FIS	b3658	1
FIS	b3764	1
FIS	b3616	1
RHAS	b3903	1
RHAS	b3902	1
RHAS	b3904	1
RHAS	b1073	1
RHAS	b1076	1
RHAS	b1078	1
NORR	b2709	-1
NORR	b2710	1
NORR	b2711	1
NORR	b2169	1
NORR	b2170	1
NORR	b2168	1
ARAC	b2841	1
ARAC	b0062	1
ARAC	b0063	1
ARAC	b0061	1
ARAC	b1901	1
ARAC	b1900	1
ARAC	b0064	1
ARAC	b0396	1
ARAC	b2943	1
ARAC	b2840	1
ARAC	b3547	1
ARAC	b0759	1
ARAC	b0758	1
ARAC	b1375	1
ARAC	b0990	1
ARAC	b1557	1
CUER	b0484	1
CUER	b0123	1
CUER	b0782	1
CUER	b0781	1
DEOR	b4383	-1
DEOR	b4381	-1
DEOR	b4382	-1
DEOR	b4384	-1
DEOR	b0411	-1
DEOR	b0291	-1
DEOR	b0292	-1
DEOR	b0289	-1
DEOR	b0290	-1
DEOR	b3831	-1
FUR	b4293	-1
FUR	b4290	-1
FUR	b2155	-1
FUR	b4292	-1
FUR	b1252	-1
FUR	b0591	-1
FUR	b1683	-1
FUR	b3908	-1
FUR	b4287	-1
FUR	b1680	-1
FUR	b1679	-1
FUR	b4288	-1
FUR	b4289	-1
FUR	b1681	-1
FUR	b1682	-1
FUR	b1684	-1
FUR	b4291	-1
FUR	b0590	-1
FUR	b0588	-1
FUR	b0589	-1
FUR	b2106	-1
FUR	b2105	-1
FUR	b0683	-1
FUR	b1452	-1
FUR	b0595	-1
FUR	b0584	-1
FUR	b0597	-1
FUR	b0586	-1
FUR	b0596	-1
FUR	b0593	-1
FUR	b3005	-1
FUR	b0594	-1
FUR	b0583	-1
FUR	b1705	-1
FUR	b0805	-1
FUR	b3006	-1
FUR	b1109	-1
FUR	b0150	-1
FUR	b2392	-1
FUR	b3408	-1
FUR	b4367	-1
FUR	b0585	-1
FUR	b0429	-1
FUR	b1458	-1
FUR	b0430	-1
FUR	b0431	-1
HIPB	b1508	-1
HIPB	b1507	-1
HIPB	b1895	-1
HIPB	b1585	-1
IHF	b4015	1
IHF	b4014	1
IHF	b4016	1
IHF	b3578	1
IHF	b3115	1
IHF	b3116	1
IHF	b3117	1
IHF	b3580	1
IHF	b3582	1
IHF	b3579	1
IHF	b0936	1
IHF	b0937	1
IHF	b2727	1
IHF	b2728	1
IHF	b3583	1
IHF	b2720	1
IHF	b3118	1
IHF	b2215	1
IHF	b3908	-1
IHF	b2721	1
IHF	b2729	1
IHF	b2723	1
IHF	b2718	1
IHF	b2726	1
IHF	b2719	1
IHF	b3771	1
IHF	b3581	1
IHF	b2976	1
IHF	b2717	1
IHF	b2725	1
IHF	b0810	1
IHF	b0895	1
IHF	b3772	1
IHF	b0811	1
IHF	b0809	1
IHF	b0894	1
IHF	b3576	1
IHF	b3770	1
IHF	b2240	-1
IHF	b1304	1
IHF	b2764	1
IHF	b2979	1
IHF	b2722	1
IHF	b3728	1
IHF	b3577	1
IHF	b2763	1
IHF	b2239	-1
IHF	b4071	1
IHF	b2977	1
IHF	b3575	1
IHF	b1681	1
IHF	b0896	1
IHF	b2762	1
IHF	b3114	1
IHF	b4068	-1
IHF	b2730	1
IHF	b4070	1
IHF	b3766	-1
IHF	b3769	1
IHF	b1305	1
IHF	b4117	1
IHF	b4072	1
IHF	b3365	1
IHF	b1396	1
IHF	b3366	1
IHF	b1307	1
IHF	b0720	1
IHF	b4069	-1
IHF	b2278	-1
IHF	b2279	-1
IHF	b2277	-1
IHF	b2282	-1
IHF	b2281	-1
IHF	b2280	-1
IHF	b3726	1
IHF	b4028	1
IHF	b2283	-1
IHF	b0929	-1
IHF	b2276	-1
IHF	b4195	1
IHF	b3542	1
IHF	b3543	1
IHF	b0935	1
IHF	b3367	-1
IHF	b2724	1
IHF	b1224	1
IHF	b1225	1
IHF	b2975	1
IHF	b3541	1
IHF	b4194	1
IHF	b3261	-1
IHF	b2286	-1
IHF	b0904	1
IHF	b1226	1
IHF	b1109	-1
IHF	b1227	1
IHF	b1223	1
IHF	b4027	1
IHF	b1683	1
IHF	b2285	-1
