TF	Gene	Interaction
ISCR	b2531	-1
ISCR	b2204	-1
ISCR	b2208	-1
ISCR	b2529	-1
ISCR	b2528	-1
ISCR	b0972	-1
MARA	b3509	-1
MARA	b3510	-1
MARA	b4396	-1
MARA	b4177	-1
FRUR	b1241	-1
FRUR	b3916	-1
FRUR	b3365	-1
FRUR	b3366	-1
FRUR	b3367	-1
FRUR	b2926	-1
FRUR	b2925	-1
FRUR	b1676	-1
FRUR	b3600	-1
FRUR	b3601	-1
FRUR	b1851	-1
FRUR	b1850	-1
FRUR	b3368	-1
FRUR	b2927	-1
FRUR	b3599	-1
FRUR	b2712	-1
FRUR	b1779	-1
FRUR	b2779	-1
FRUR	b0315	-1
GCVA	b2808	-1
ARCA	b0431	-1
ARCA	b0429	-1
ARCA	b0430	-1
ARCA	b0432	-1
ARCA	b0720	-1
ARCA	b1415	-1
ARCA	b3846	-1
ARCA	b2282	-1
ARCA	b3603	-1
ARCA	b3604	-1
ARCA	b0312	-1
ARCA	b2281	-1
ARCA	b2283	-1
ARCA	b1136	-1
ARCA	b2979	-1
ARCA	b2286	-1
ARCA	b2279	-1
ARCA	b2976	-1
ARCA	b2284	-1
ARCA	b2278	-1
ARCA	b0428	-1
ARCA	b2285	-1
ARCA	b3236	-1
ARCA	b2280	-1
ARCA	b2287	-1
ARCA	b3908	-1
ARCA	b2344	-1
ARCA	b0313	-1
ARCA	b2288	-1
ARCA	b3845	-1
ARCA	b2341	-1
ARCA	b2277	-1
ARCA	b0311	-1
ARCA	b0116	-1
ARCA	b2276	-1
ARCA	b1805	-1
ARCA	b2977	-1
ARCA	b0314	-1
ARCA	b3605	-1
ARCA	b1101	-1
ARCA	b0221	-1
ARCA	b0903	-1
ARCA	b4058	-1
ARCA	b2342	-1
ARCA	b2741	-1
ARCA	b0904	-1
ARCA	b2975	-1
ARCA	b4059	-1
CRP	b2344	-1
CRP	b0124	-1
CRP	b3171	-1
CRP	b3213	-1
CRP	b3212	-1
CRP	b1621	-1
CRP	b0907	-1
CRP	b3166	-1
CRP	b3168	-1
CRP	b3167	-1
CRP	b3806	-1
CRP	b4376	-1
CRP	b3170	-1
CRP	b2509	-1
CRP	b3169	-1
CRP	b0908	-1
CRP	b3165	-1
CRP	b3870	-1
CRP	b4030	-1
CRP	b3164	-1
CRP	b3869	-1
CRP	b1622	-1
CRP	b3512	-1
CRP	b3574	-1
CRP	b3214	-1
